NP_ID,Neighborhood,Ethnicity,Households
25,Portland,Households,255958
25,Portland,Single-Person,88101
25,Portland,Households with Children,59842
25,Portland,Foreign-Born Individuals,85707
25,Portland,Persons Exp-Disabilities,73587
25,Portland,Persons 65 and Older,65
1,122nd-Division,Households,7635
1,122nd-Division,Single-Person,1882
1,122nd-Division,Households with Children,3043
1,122nd-Division,Foreign-Born Individuals,6978
1,122nd-Division,Persons Exp-Disabilities,3593
1,122nd-Division,Persons 65 and Older,65
2,Belmont-Hawthorne-Division,Households,13311
2,Belmont-Hawthorne-Division,Single-Person,4630
2,Belmont-Hawthorne-Division,Households with Children,2228
2,Belmont-Hawthorne-Division,Foreign-Born Individuals,2132
2,Belmont-Hawthorne-Division,Persons Exp-Disabilities,2597
2,Belmont-Hawthorne-Division,Persons 65 and Older,65
3,Centennial-Glenfair-Wilkes,Households,9851
3,Centennial-Glenfair-Wilkes,Single-Person,2377
3,Centennial-Glenfair-Wilkes,Households with Children,3642
3,Centennial-Glenfair-Wilkes,Foreign-Born Individuals,6754
3,Centennial-Glenfair-Wilkes,Persons Exp-Disabilities,4861
3,Centennial-Glenfair-Wilkes,Persons 65 and Older,65
4,Central,Households,21028
4,Central,Single-Person,13919
4,Central,Households with Children,1037
4,Central,Foreign-Born Individuals,3621
4,Central,Persons Exp-Disabilities,5240
4,Central,Persons 65 and Older,3811
5,Forest Hills,Households,3562
5,Forest Hills,Single-Person,765
5,Forest Hills,Households with Children,1258
5,Forest Hills,Foreign-Born Individuals,1601
5,Forest Hills,Persons Exp-Disabilities,735
5,Forest Hills,Persons 65 and Older,1063
6,Gateway,Households,18630
6,Gateway,Single-Person,5812
6,Gateway,Households with Children,5088
6,Gateway,Foreign-Born Individuals,13383
6,Gateway,Persons Exp-Disabilities,8302
6,Gateway,Persons 65 and Older,65
7,Hayden,Households,2540
7,Hayden,Single-Person,1153
7,Hayden,Households with Children,381
7,Hayden,Foreign-Born Individuals,683
7,Hayden,Persons Exp-Disabilities,858
7,Hayden,Persons 65 and Older,957
8,Hillsdale-Multnomah-Barbur,Households,9170
8,Hillsdale-Multnomah-Barbur,Single-Person,3052
8,Hillsdale-Multnomah-Barbur,Households with Children,2064
8,Hillsdale-Multnomah-Barbur,Foreign-Born Individuals,1317
8,Hillsdale-Multnomah-Barbur,Persons Exp-Disabilities,1763
8,Hillsdale-Multnomah-Barbur,Persons 65 and Older,2312
9,Hollywood,Households,14502
9,Hollywood,Single-Person,5068
9,Hollywood,Households with Children,3498
9,Hollywood,Foreign-Born Individuals,1929
9,Hollywood,Persons Exp-Disabilities,2843
9,Hollywood,Persons 65 and Older,65
10,Interstate,Households,17794
10,Interstate,Single-Person,5554
10,Interstate,Households with Children,4133
10,Interstate,Foreign-Born Individuals,4232
10,Interstate,Persons Exp-Disabilities,5031
10,Interstate,Persons 65 and Older,3433
11,Lents-Foster,Households,18585
11,Lents-Foster,Single-Person,4873
11,Lents-Foster,Households with Children,5601
11,Lents-Foster,Foreign-Born Individuals,9337
11,Lents-Foster,Persons Exp-Disabilities,7504
11,Lents-Foster,Persons 65 and Older,65
12,MLK-Alberta,Households,13657
12,MLK-Alberta,Single-Person,3577
12,MLK-Alberta,Households with Children,3318
12,MLK-Alberta,Foreign-Born Individuals,2323
12,MLK-Alberta,Persons Exp-Disabilities,3224
12,MLK-Alberta,Persons 65 and Older,2873
13,Montavilla,Households,15492
13,Montavilla,Single-Person,4864
13,Montavilla,Households with Children,3317
13,Montavilla,Foreign-Born Individuals,4678
13,Montavilla,Persons Exp-Disabilities,3705
13,Montavilla,Persons 65 and Older,65
14,Northwest,Households,12452
14,Northwest,Single-Person,6805
14,Northwest,Households with Children,1376
14,Northwest,Foreign-Born Individuals,2483
14,Northwest,Persons Exp-Disabilities,1873
14,Northwest,Persons 65 and Older,65
15,Parkrose-Argay,Households,5242
