NP_ID,Neighborhood,Year,Rent,Inventory
1,112nd,16,915,1619
1,112nd,15,871,1619
1,112nd,14,784,1619
1,112nd,13,754,1619
1,112nd,12,725,1619
1,112nd,11,710,1619
1,112nd,10,703,1619
1,112nd,09,693,1619
1,112nd,08,707,1585
18,Rose Cully,16,965,1412
18,Rose Cully,15,932,1412
18,Rose Cully,14,861,1412
18,Rose Cully,13,831,1412
18,Rose Cully,12,805,1412
18,Rose Cully,11,782,1412
18,Rose Cully,10,772,1412
18,Rose Cully,09,762,1412
18,Rose Cully,08,791,1401
17,Raleigh Hills,16,1132,779
17,Raleigh Hills,15,1057,709
17,Raleigh Hills,14,945,709
17,Raleigh Hills,13,884,709
17,Raleigh Hills,12,837,709
17,Raleigh Hills,11,810,709
17,Raleigh Hills,10,796,709
17,Raleigh Hills,09,769,709
17,Raleigh Hills,08,790,709
7,Hayden Island,16,1671,520
7,Hayden Island,15,1713,459
7,Hayden Island,14,1286,285
7,Hayden Island,13,1264,285
7,Hayden Island,12,1241,285
7,Hayden Island,11,1202,285
7,Hayden Island,10,1148,285
7,Hayden Island,09,1038,141
7,Hayden Island,08,1181,141
9,Hollywood,16,1261,4513
9,Hollywood,15,1281,4459
9,Hollywood,14,1198,4334
9,Hollywood,13,1093,3913
9,Hollywood,12,1040,3834
9,Hollywood,11,978,3737
9,Hollywood,10,964,3737
9,Hollywood,09,945,3687
9,Hollywood,08,933,3634
20,South Portland,16,1579,3266
20,South Portland,15,1524,2497
20,South Portland,14,1486,2380
20,South Portland,13,1422,2380
20,South Portland,12,1380,2236
20,South Portland,11,1331,2236
20,South Portland,10,1311,2236
20,South Portland,09,1289,2236
20,South Portland,08,1271,1649
8,Hillsdale,16,1074,1612
8,Hillsdale,15,1036,1612
8,Hillsdale,14,938,1612
8,Hillsdale,13,882,1612
8,Hillsdale,12,839,1612
8,Hillsdale,11,811,1612
8,Hillsdale,10,791,1612
8,Hillsdale,09,777,1612
8,Hillsdale,08,811,1612
19,Sellwood,16,1199,1418
19,Sellwood,15,1167,1358
19,Sellwood,14,1030,1326
19,Sellwood,13,908,1212
19,Sellwood,12,872,1212
19,Sellwood,11,845,1212
19,Sellwood,10,831,1212
19,Sellwood,09,827,1212
19,Sellwood,08,859,1212
3,Centennial,16,918,2317
3,Centennial,15,847,2317
3,Centennial,14,800,2317
3,Centennial,13,766,2317
3,Centennial,12,730,2317
3,Centennial,11,717,2317
3,Centennial,10,706,2317
3,Centennial,09,689,2287
3,Centennial,08,702,2287
4,Central City,16,1434,11346
4,Central City,15,1458,10771
4,Central City,14,1328,9482
4,Central City,13,1255,9141
4,Central City,12,1201,8905
4,Central City,11,1167,8352
4,Central City,10,1138,8342
4,Central City,09,1136,8334
4,Central City,08,1095,7211
6,Gateway,16,1096,3866
6,Gateway,15,1050,3790
6,Gateway,14,968,3790
6,Gateway,13,930,3790
6,Gateway,12,902,3790
6,Gateway,11,875,3790
6,Gateway,10,858,3790
6,Gateway,09,846,3790
6,Gateway,08,769,3598
2,Belmont,16,1280,3988
2,Belmont,15,1252,3824
2,Belmont,14,1169,3680
2,Belmont,13,1095,3350
2,Belmont,12,1028,3040
2,Belmont,11,1002,3040
2,Belmont,10,990,3040
2,Belmont,09,974,3006
2,Belmont,08,971,2928
23,West Portland,16,1281,1193
23,West Portland,15,1230,1193
23,West Portland,14,1166,1193
23,West Portland,13,1081,1193
23,West Portland,12,1032,1193
23,West Portland,11,979,1193
23,West Portland,10,983,1193
23,West Portland,09,964,1193
23,West Portland,08,1004,1193
24,Woodstock,16,1128,2270
24,Woodstock,15,1094,2270
24,Woodstock,14,1028,2270
24,Woodstock,13,943,2253
24,Woodstock,12,893,2253
24,Woodstock,11,851,2253
24,Woodstock,10,833,2253
24,Woodstock,09,814,2253
24,Woodstock,08,834,2253
16,Pleasant Valley,16,1103,630
16,Pleasant Valley,15,1071,630
16,Pleasant Valley,14,972,630
16,Pleasant Valley,13,918,630
16,Pleasant Valley,12,874,630
16,Pleasant Valley,11,864,630
16,Pleasant Valley,10,850,630
16,Pleasant Valley,09,825,630
16,Pleasant Valley,08,808,550
15,Parkrose,16,1112,1527
15,Parkrose,15,1051,1527
15,Parkrose,14,956,1527
15,Parkrose,13,922,1527
15,Parkrose,12,889,1527
15,Parkrose,11,868,1527
15,Parkrose,10,854,1527
15,Parkrose,09,840,1527
15,Parkrose,08,858,1527
14,Northwest,16,1423,7169
14,Northwest,15,1392,6622
14,Northwest,14,1252,6078
14,Northwest,13,1215,5826
14,Northwest,12,1160,5451
14,Northwest,11,1138,5191
14,Northwest,10,1130,5191
14,Northwest,09,1131,5191
14,Northwest,08,1138,4928
13,Montavilla,16,1030,2218
13,Montavilla,15,996,2198
13,Montavilla,14,901,2148
13,Montavilla,13,854,2125
13,Montavilla,12,817,2125
13,Montavilla,11,792,2125
13,Montavilla,10,782,2125
13,Montavilla,09,780,2125
13,Montavilla,08,809,2125
12,MLK,16,1120,724
12,MLK,15,1093,696
12,MLK,14,1049,660
12,MLK,13,942,592
12,MLK,12,921,592
12,MLK,11,883,577
12,MLK,10,872,577
12,MLK,09,865,577
12,MLK,08,869,570
11,Lents,16,1071,1264
11,Lents,15,979,1264
11,Lents,14,894,1245
11,Lents,13,881,1227
11,Lents,12,841,1227
11,Lents,11,818,1227
11,Lents,10,802,1227
11,Lents,09,773,1227
11,Lents,08,789,1197
10,Interstate,16,1286,2868
10,Interstate,15,1270,2145
10,Interstate,14,1160,1927
10,Interstate,13,1129,1822
10,Interstate,12,971,1536
10,Interstate,11,934,1536
10,Interstate,10,911,1513
10,Interstate,09,885,1505
10,Interstate,08,928,1432
25,Portland,16,1194,2691
25,Portland,15,1160,2542
25,Portland,14,1056,2411
25,Portland,13,999,2330
25,Portland,12,952,2262
25,Portland,11,922,2218
25,Portland,10,906,2217
25,Portland,09,887,2203
25,Portland,08,901,2083
